entry,syllables
acinous,3
acinus,3
Acis,2
ackee,2
ackey,2
acknowledge,3
acknowledged,3
acknowledgment,4
ackton,2
acle,2
acleistocardia,6
acme,2
acmeism,3
acmesthesia,4
acmite,2
acne,2
acnegenic,4
acnemia,4
acoasm,3
acock,2
acoelomate,4
acoelous,3
acoenaesthesia,5
acold,2
acolyte,3
Acoma,3
Aconcagua,4
aconite,3
acorn,2
acotyledon,5
acouasm,3
acousma,3
acoustic,3
acoustician,4
acoustics,3
acoustimeter,5
acoustoelectric,6
acoustooptics,5
acquaint,2
acquaintance,3
acquainted,3
acquest,2
acquiesce,3
acquiescence,4
acquiescent,4
acquire,2
acquiree,3
acquirement,3
acquisition,4
acquisitive,4
acquit,2
acquittal,3
acquittance,3
acraldehyde,4
acrasin,3
acre,2
Acre,2
acreage,3
acred,2
acrid,2
acridid,3
acridine,3
acriflavine,4
Acrilan,3
acrimonious,5
acrimony,4
acritarch,3
acritical,4
acrobat,3
acrobatic,4
acrobatics,4
acrocarpous,4
acrocentric,4
acrocephaly,5
Acrocorinth,4
acrocyanosis,6
acrodont,3
acrogen,3
acrogynous,4
acrolect,3
acrolein,4
acrolith,3
acrology,4
acromegaly,5
acromicria,5
acromion,4
acron,2
acronym,3
acropathy,4
acropetal,4
acrophobia,5
acrophony,4
acropolis,4
acrosome,3
acrospire,3
acrospore,3
across,2
acrostic,3
acroterion,5
acroterium,5
acrotism,3
Acrux,2
acrylaldehyde,5
acrylamide,4
acrylate,3
acrylic,3
acrylonitrile,5
acrylyl,3
act,1
acta,2
actable,3
Actaeon,3
actin,2
actinal,3
acting,2
actinia,4
actinian,4
actinic,3
actinide,3
actiniform,4
actinin,3
actinism,3
actinium,4
actinobacillosis,7
actinobacillus,6
actinochemistry,6
actinodermatitis,7
actinodrome,4
actinogram,4
actinograph,4
actinoid,3
actinolite,4
actinology,5
actinometer,5
actinomorphic,5
actinomyces,5
actinomycete,5
actinomycin,5
actinomycosis,6
actinon,3
actinopod,4
actinopterygian,7
actinotherapy,6
actinouranium,7
actinozoan,5
action,2
actionable,4
Actis,2
Actium,3
activate,3
activator,4
active,2
activewear,3
activin,3
activism,3
activist,3
activity,4
activize,3
acto,2
actomyosin,5
acton,2
Acton,2
actor,2
Actor,2
Actoridae,4
actorish,3
actress,2
actressy,3
actual,3
actualism,4
actuality,5
actualization,6
actualize,4
actually,4
actuary,4
actuate,3
actuator,4
acuate,3
Acuff,2
acuity,4
aculeate,4
aculeus,4
acumen,3
acuminate,4
acupressure,4
acupuncture,4
acupuncturist,5
acus,2
acusector,4
acutance,3
acute,2
acutilingual,5
acyclic,3
acyclovir,4
acyl,2
acylate,3
acyloin,4
Ada,2
Adabazar,4
adactylous,4
Adad,2
adage,2
adagio,3
Adah,2
Adak,2
Adam,2
Adama,3
adamant,3
adamantane,4
adamantine,4
Adamic,3
Adamite,3
Adams,2
adamsite,3
Adana,3
Adapazari,5
adapt,2
adaptable,4
adaptation,4
adapter,3
adaptive,3
Adar,2
adat,2
adaxial,4
adazzle,3
add,1
Addams,2
addax,2
addend,2
addenda,3
addendum,3
adder,2
Adderley,3
addict,2
addicted,3
addiction,3
addictive,3
Addie,2
Addington,3
addio,3
Addison,3
Addisonian,5
additament,4
addition,3
additional,4
additive,3
additory,4
addle,2
addlebrained,3
addlepated,4
address,2
addressable,4
addressee,3
Addressograph,4
adduce,2
adducent,3
adduct,2
adduction,3
adductor,3
Ade,1
adeem,2
Adelaide,3
adelantado,5
Adele,2
adelgid,3
Adeline,3
ademption,3
Aden,2
Adenauer,4
adenectomy,5
Adenese,3
Adeni,3
adenine,3
adenitis,4
adenocarcinoma,7
adenohypophysis,7
adenoid,3
adenoidal,4
adenoidectomy,6
adenoiditis,5
adenology,5
adenoma,4
adenopathy,5
adenosarcoma,6
adenosine,4
adenosis,4
adenovirus,5
adephagia,4
adept,2
adequacy,4
adequate,3
adessive,3
adfreeze,2
adhere,2
adherence,3
adherend,3
adherent,3
adhesion,3
adhesive,3
adhibit,3
adiabat,4
adiabatic,5
adiactinic,5
adiadochokinesia,8
adiaphoresis,6
adiaphoretic,6
adiaphorism,5
adiaphorous,5
Adie,2
adient,3
adieu,2
Adige,3
Adighe,3
Adigranth,3
adios,3
adipate,3
adipocere,4
adipocerite,5
adipocyte,4
adiponitrile,5
adipopexia,6
adipose,3
Adirondack,4
adit,2
Aditya,3
adjacency,4
adjacent,3
adjectival,4
adjective,3
adjectivize,4
adjoin,2
adjoining,3
adjoint,2
adjourn,2
adjournment,3
adjudge,2
adjudicate,4
adjudication,5
adjugate,3
adjunct,2
adjunction,3
adjunctive,3
adjuration,4
adjure,2
adjust,2
adjustability,6
adjustable,4
adjusted,3
adjuster,3
adjustive,3
adjustment,3
adjustor,3
adjutancy,4
adjutant,3
adjuvant,3
Adlai,2
Adler,2
Adlerian,4
Admah,2
adman,2
admass,2
admeasure,3
admeasurement,4
Admete,3
Admetus,3
admin,1
adminicle,4
administer,4
administerial,6
administrable,5
administrate,4
administration,5
administrative,5
administrator,5
administratrix,5
admirable,4
admiral,3
admiralty,4
admiration,4
admire,2
admiring,3
admissible,4
admission,3
admissive,3
admit,2
admittance,3
admittedly,4
admittee,3
admix,2
admixture,3
admonish,3
admonition,4
admonitor,4
admonitory,5
Adnah,2
adnate,2
adnation,3
adnexa,3
adnominal,4
adnoun,2
ado,2
adobe,3
adolescence,4
adolescent,4
Adolf,2
Adonai,3
Adonic,3
Adonijah,4
Adonis,3
adopt,2
adoptable,4
adoptee,3
adoption,3
adoptive,3
adorable,4
adoration,4
adorbs,2
adore,2
adorn,2
adornment,3
adorno,3
Adoula,3
Adour,2
Adowa,3
adown,2
adoze,2
adperson,3
Adrammelech,4
Adrastus,3
adrenal,3
Adrenalin,4
adrenaline,4
adrenalize,4
adrenergic,4
adrenocortical,6
adrenocorticosteroid,8
adrenocorticotropic,8
adrenoreceptor,6
adret,2
Adriamycin,5
Adrian,3
Adrianople,5
Adrianopolis,6
Adriatic,4
Adrienne,3
adrift,2
adroit,2
adscititious,4
adscript,2
adscription,3
adsorb,2
adsorbate,3
adstratum,3
adsum,2
adularescent,5
adularia,5
adulate,3
adulation,4
adult,2
adulterant,4
adulterate,4
adulteration,5
adulterer,4
adulteress,4
adulterine,4
adulterous,4
adultery,4
adultescent,4
adultolescent,5
adumbral,3
adumbrate,3
adumbrative,4
adunc,2
adust,2
Aduwa,3
Advaita,3
advance,2
advanced,2
advancement,3
advancer,3
advantage,3
advantaged,3
advantageous,4
advect,2
advection,3
advent,2
Adventist,3
adventitia,5
adventitious,4
adventive,3
adventure,3
adventurer,4
adventuresome,4
adventuress,4
adventurism,4
adventurous,4
adverb,2
adverbial,4
advergame,3
adversary,4
adversaryism,5
adversative,4
adverse,2
adversity,4
advert,2
advertence,3
advertency,4
advertent,3
advertise,3
advertisement,4
advertising,4
advertize,3
advertorial,5
advice,2
Advil,2
advisable,4
advise,2
advised,2
advisedly,4
advisee,3
advisement,3
adviser,3
advisory,4
advocaat,3
advocacy,4
advocate,3
advocation,4
advocatory,5
advowson,3
Adwa,2
adware,2
adwoman,3
Adygei,3
adytum,3
adz,1
adze,1
Adzharistan,4
Aeacides,4
Aeacus,3
Aeaea,3
aechmea,3
aecidium,4
aeciospore,4
aecium,3
aedeagus,4
aedes,3
aedicula,4
aedicule,3
aedile,2
aedoeagus,4
Aegates,3
Aegean,3
Aegina,3
Aegir,2
aegirite,3
aegis,2
Aegisthus,3
Aegium,3
Aegospotami,5
aegrotat,3
Aegyptopithecus,6
aelurophile,4
aelurophilia,6
aelurophobe,4
aelurophobia,6
Aeneas,3
Aeneid,3
Aeneolithic,6
aeneous,4
Aeolia,4
Aeolian,4
Aeolic,3
aeolipile,4
Aeolis,3
aeolotropic,5
Aeolus,3
aeon,2
aeonian,4
Aepyornis,4
aequorin,3
aerarian,4
aerarium,4
aerate,2
aerator,3
aerenchyma,4
Aeria,3
aerial,3
aerialist,4
aeriality,5
aerie,2
aeriferous,4
aerification,5
aeriform,3
aerify,3
aero,2
aerobacter,4
aeroballistics,5
aerobat,3
aerobatics,4
aerobe,2
Aerobee,3
aerobic,3
aerobics,3
aerobiology,6
aerobiosis,5
aerobium,4
aerobrake,3
aeroculture,4
aerodontalgia,5
aerodrome,3
aerodynamicist,6
aerodynamics,5
aerodyne,3
aeroelastic,5
aeroelastics,5
aeroembolism,5
aerofoil,3
aerogel,3
aerogenic,4
aerogram,3
aerograph,3
aerography,4
aerolite,3
aerology,4
aeromagnetic,5
aeromagnetics,5
aeromancy,4
aeromarine,4
aeromechanic,5
aeromechanics,5
aeromedical,5
aeromedicine,5
aerometeorograph,7
aerometer,4
aeronaut,3
aeronautical,5
aeronautics,4
aeronomy,4
aeropause,3
aerophagia,4
aerophilately,6
aerophobia,5
aerophone,3
aerophore,3
aerophoto,4
aerophyte,3
aeroplane,3
aeroponics,4
aeropulse,3
aeroscepsy,4
aerosinusitis,6
aerosol,3
aerosolize,4
aerospace,3
aerosphere,3
aerostat,3
aerostatic,4
aerostatics,4
aerostation,4
aerotherapeutics,6
aerothermodynamics,7
aerotow,3
aerotrain,3
aerotropism,4
aeruginous,4
aerugo,3
aery,2
aes,1
Aeschines,3
Aeschylus,3
Aesculapian,5
Aesculapius,5
aesculin,3
Aesir,2
Aesop,2
Aesopian,4
aesthesia,3
aesthete,2
aesthetic,3
aesthetical,4
aesthetically,5
aesthetician,4
aestheticism,4
aestheticize,4
aesthetics,3
aestival,3
aestivate,3
aethalium,4
aetheling,3
Aethelstan,3
aether,2
aethon,2
aetiology,5
Aetna,2
Aetolia,4
Aetolus,3
afar,2
Afar,2
afeard,2
afebrile,3
aff,1
affable,3
affair,2
affect,2
affectation,4
affected,3
affecting,3
affection,3
affectional,4
affectionate,4
affective,3
affectless,3
affenpinscher,4
afferent,3
affettuoso,4
affiance,3
affianced,3
affiant,3
affiche,2
afficionado,5
affidavit,4
affiliate,4
affiliated,5
affiliation,5
affinal,3
affine,2
affined,2
affinitive,4
affinity,4
affirm,2
affirmance,3
affirmant,3
affirmation,4
affirmative,4
affirmatory,5
affix,2
affixation,4
affixture,3
afflated,3
afflatus,3
afflict,2
affliction,3
afflictive,3
affluence,3
affluency,4
affluent,3
afflux,2
afford,2
affordable,4
afforest,3
affranchise,3
affray,2
affrayer,3
affreight,2
affricate,3
affrication,4
affricative,4
affright,2
affront,2
affrontive,3
affusion,3
Afghan,2
Afghani,3
Afghanistan,4
aficionada,5
aficionado,5
afield,2
afikomen,4
afire,2
aflame,2
aflatoxin,4
afloat,2
aflutter,3
afocal,3
Afognak,3
Afonso,3
afoot,2
afore,2
aforehand,3
aforementioned,4
aforesaid,3
aforethought,3
aforetime,3
afoul,2
afraid,2
Aframerican,5
Afrasia,3
Afrasian,3
afreet,2
afresh,2
Afric,2
Africa,3
African,3
Africana,4
Africander,4
Africanism,4
Africanist,4
Africanize,4
Africanthropus,5
Afrikaans,3
Afrikander,4
Afrikaner,4
Afrikanerism,5
afrit,2
Afro,2
Afroasiatic,6
Afrocentric,4
afrormosia,5
aft,1
after,2
afterbeat,3
afterbirth,3
afterbody,4
afterbrain,3
afterburner,4
afterburning,4
aftercare,3
aftercast,3
afterclap,3
aftercooler,4
afterdamp,3
afterdeck,3
aftereffect,4
afterglow,3
aftergrowth,3
afterguard,3
afterheat,3
afterimage,4
afterlife,3
afterlight,3
aftermarket,4
aftermath,3
aftermost,3
afternoon,3
afternooner,4
afternoons,3
afterpain,3
afterpeak,3
afterpiece,3
afterschool,3
aftersensation,5
aftershaft,3
aftershave,3
aftershock,3
aftertaste,3
aftertax,3
afterthought,3
aftertime,3
aftertreatment,4
afterward,3
afterword,3
afterwork,3
afterworld,3
afteryears,3
aftmost,2
aftosa,3
Afyon,2
aga,2
Agabus,3
Agada,3
Agade,3
Agadir,3
Agag,2
again,2
against,2
agal,2
agalite,3
agalloch,3
agama,3
Agama,3
Agamede,4
Agamemnon,4
agamete,3
agamic,3
agamid,3
agammaglobulinemia,9
agamogenesis,6
agamospermy,5
agamy,3
agapanthus,4
agape,2
agar,2
Agar,2
agaric,3
agaricaceous,5
agaricin,4
agaricus,4
agarita,4
agarose,3
Agassiz,3
Agastrophus,4
Agastya,3
agata,3
agate,2
agateware,3
Agatha,3
Agatho,3
Agathocles,4
Agathon,3
agatize,3
agave,3
Agawam,3
agaze,2
agba,2
age,1
aged,2
agee,1
Agee,2
ageing,2
ageism,2
Agelaus,4
ageless,2
agelong,2
agemate,2
Agena,3
Agenais,3
agency,3
agenda,3
agender,3
agendum,3
agenesis,4
agenize,3
agent,2
agential,3
agentival,4
agentive,3
agentry,3
ager,2
ageratum,4
ageusia,4
Aggadah,3
agger,2
Aggeus,3
aggie,2
Aggie,2
aggiornamento,5
agglomerate,4
agglomeration,5
agglutinant,4
agglutinate,4
agglutination,5
agglutinative,5
agglutinin,4
agglutinogen,5
aggrade,2
aggrandize,3
aggrandizement,4
aggravate,3
aggravated,4
aggravating,4
aggravation,4
aggregate,3
aggregation,4
aggregative,4
aggregator,4
aggress,2
aggression,3
aggressive,3
aggressor,3
aggrieve,2
aggrieved,2
aggro,2
agha,2
aghast,2
agilawood,4
agile,2
agility,4
agin,2
Agincourt,3
aginner,3
agio,3
agiotage,4
agist,2
agistment,3
agita,3
agitate,3
agitated,4
agitation,4
agitato,4
agitator,4
agitprop,3
Aglaia,3
aglare,2
agleam,2
aglet,2
agley,2
aglimmer,3
aglint,2
aglisten,3
aglitter,3
aglossia,4
aglow,2
aglucon,3
aglycon,3
agma,2
agminate,3
agnail,2
agnate,2
Agnatha,3
agnathan,3
agnathous,3
agnel,2
Agnes,2
Agnew,2
Agni,2
agnize,2
agnolotti,4
agnomen,3
Agnon,2
agnosia,3
agnostic,3
agnosticism,4
ago,2
agog,2
agogic,3
agogics,3
agon,2
agonal,3
agone,2
agonic,3
agonist,3
agonistic,4
agonize,3
agonized,3
agonizing,4
agony,3
agora,3
agoraphobia,6
agoraphobic,5
agouta,3
agouti,3
agouty,3
Agra,2
agraffe,2
Agram,2
agrammatism,4
agranulocytosis,7
agrapha,3
agraphia,4
agrarian,4
agrarianism,5
agravic,3
agree,2
agreeable,4
agreeance,3
agreed,2
agreement,3
agrestal,3
agrestic,3
agribiz,3
agribusiness,4
agrichemical,5
Agricola,4
agriculture,4
agriculturist,5
Agrigento,4
agrimony,4
Agrinion,3
agriology,5
Agriope,4
Agrippa,3
agritourism,4
Agrius,3
agrobacteria,6
agrobiology,6
agrobusiness,4
agrochemical,5
agroforestry,5
agrology,4
agromania,5
agronomy,4
agrostography,5
agrostology,5
agrotechnician,5
agrotechnology,6
aground,2
Aguadilla,4
aguardiente,4
Aguascalientes,5
ague,2
agueweed,3
Aguinaldo,4
aguish,3
Agulhas,3
Agung,2
agura,3
aha,2
Ahab,2
ahankara,4
Ahasuerus,5
Ahaz,2
Ahaziah,4
ahchoo,2
ahead,2
ahem,2
ahi,2
Ahidjo,3
Ahiezer,4
Ahimaaz,4
Ahimelech,4
ahimsa,3
Ahir,2
Ahira,3
Ahishar,3
ahistoric,4
Ahithophel,4
ahkio,3
Ahmadi,3
Ahmadiya,4
Ahmedabad,4
Ahmednagar,4
ahold,2
aholt,2
Ahom,2
ahorse,2
ahoy,2
Ahriman,3
Ahtisaari,4
Ahtna,2
ahu,2
ahull,2
ahungered,3
Ahura,3
Ahuzzath,3
Ahvenanmaa,4
Ahwaz,2
Aias,2
aid,1
Aida,3
aide,1
aidman,2
Aidoneus,5
Aidos,2
Aiea,4
aigrette,2
aiguille,2
aiguillette,3
Aiken,2
aikido,3
ail,1
ailanthus,3
Aileen,2
aileron,3
ailette,2
Ailey,2
ailing,2
ailment,2
ailurophile,4
ailurophilia,6
ailurophobe,4
ailurophobia,6
aim,1
aimak,2
Aimee,2
aimless,2
ain,1
Ain,1
Aineias,3
Aintab,2
Ainu,2
aioli,3
Aiora,3
air,1
airbill,2
airboat,2
airborne,2
airbrasive,3
airbrush,2
airburst,2
airbus,2
aircav,2
aircraft,2
aircraftsman,3
aircraftswoman,4
aircrew,2
aircrewman,3
airdate,2
Airdrie,2
airdrome,2
airdrop,2
Airedale,2
airfare,2
airfield,2
airflow,2
airfoil,2
airframe,2
airfreight,2
airglow,2
airhead,2
airhose,2
airily,3
airiness,3
airing,2
airish,2
airless,2
airlift,2
airlifter,3
airlight,2
airline,2
airliner,3
airmada,3
airmail,2
airman,2
airmanship,3
airmobile,3
airpack,2
airpark,2
airpipe,2
airplane,2
airplay,2
airport,2
airproof,2
airscrew,2
airshed,2
airship,2
airshow,2
airsick,2
airsickness,3
airside,2
airspeed,2
airstream,2
airstrip,2
airt,1
airtight,2
airtime,2
airwash,2
airwaves,2
airway,2
airwoman,3
airworthy,3
airy,2
Aisha,3
aisle,1
Aisne,1
ait,1
aitch,1
aitchbone,2
Aitken,2
Ajaccio,3
Ajanta,3
ajar,2
Ajaria,4
Ajax,2
ajee,2
ajingle,3
ajiva,3
Ajivika,4
Ajman,2
Ajmer,2
Ajodhya,3
ajuga,3
Akaba,3
akala,3
Akan,2
akasha,3
Akashi,3
akathisia,4
Akbar,2
ake,1
akeake,4
akebi,3
akee,2
akela,3
Akeldama,4
Akeley,2
akene,2
aketon,2
Akhetaton,4
Akhisar,3
Akhmatova,4
Akhnaton,3
akiapolaau,6
Akihito,4
Akil,2
akimbo,3
akin,2
akinesia,4
akinete,3
Akins,2
Akita,3
Akkad,2
Akkadian,4
Akkerman,3
Akkra,2
Akmola,3
Akmolinsk,3
Akola,3
Akron,2
Aksum,2
Akureyri,4
Akutagawa,5
akvavit,3
Akyab,2
ala,2
Ala,2
Alabama,4
alabamine,4
alabandite,4
alabaster,4
alabastos,4
alabastron,4
alabastrum,4
alack,2
alacrity,4
Aladdin,3
alae,2
Alagez,3
Alagoas,4
Alai,2
Alajuela,4
alala,3
Alalcomeneus,5
alalia,4
Alamanni,4
Alamannic,4
alameda,4
Alameda,4
Alamein,3
alamiqui,4
alamo,3
Alamo,3
alamode,3
Alamogordo,5
Alan,2
Alani,3
Alania,3
alanine,3
alanyl,3
alapa,3
alar,2
Alar,2
Alaric,3
alarm,2
alarming,3
alarmist,3
alarum,3
alary,3
alas,2
Alaska,3
Alastair,3
alastor,3
alate,2
Alateen,3
Alava,3
alb,1
alba,2
Alba,2
Albacete,4
albacore,3
Albamycin,4
Alban,2
Albanese,4
